channel,requested_freq_hz,requested_level,peak_bin_freq_hz,peak_bin_db,noise_floor_db,snr_db,locked,spec_avg_n,notes
accel_z,15,0.9,850.0,-50.56816482543945,-57.63570022583008,7.067535400390625,True,8,"below ADR-035 20Hz floor, exploratory; attempt 1/3"
accel_z,15,0.9,3350.0,-51.070091247558594,-57.14893341064453,6.0788421630859375,True,8,"below ADR-035 20Hz floor, exploratory; attempt 2/3"
accel_z,15,0.9,350.0,-49.57709503173828,-57.62084197998047,8.043746948242188,True,8,"below ADR-035 20Hz floor, exploratory; attempt 3/3"
accel_z,20,0.9,250.0,-47.241363525390625,-57.24795913696289,10.006595611572266,True,8,attempt 1/3
accel_z,20,0.9,150.0,-49.186485290527344,-57.221290588378906,8.034805297851562,True,8,attempt 2/3
accel_z,20,0.9,150.0,-48.780094146728516,-57.94925880432129,9.169164657592773,True,8,attempt 3/3
accel_z,30,0.9,550.0,-51.04045486450195,-57.4066276550293,6.366172790527344,True,8,attempt 1/3
accel_z,30,0.9,350.0,-49.81401443481445,-57.49450492858887,7.680490493774414,True,8,attempt 2/3
accel_z,30,0.9,250.0,-48.47886657714844,-57.74907684326172,9.270210266113281,True,8,attempt 3/3
accel_z,40,0.9,250.0,-51.82520294189453,-58.327871322631836,6.502668380737305,True,8,attempt 1/3
accel_z,40,0.9,350.0,-48.932701110839844,-57.71208572387695,8.77938461303711,True,8,attempt 2/3
accel_z,40,0.9,250.0,-49.52646255493164,-57.883056640625,8.35659408569336,True,8,attempt 3/3
accel_z,50,0.9,1150.0,-48.68054962158203,-56.969688415527344,8.289138793945312,True,8,attempt 1/3
accel_z,50,0.9,250.0,-47.223060607910156,-57.39186477661133,10.168804168701172,True,8,attempt 2/3
accel_z,50,0.9,250.0,-48.82514190673828,-57.37191581726074,8.546773910522461,True,8,attempt 3/3
accel_z,60,0.9,350.0,-50.580650329589844,-57.18781089782715,6.607160568237305,True,8,attempt 1/3
accel_z,60,0.9,650.0,-51.230804443359375,-58.3403205871582,7.109516143798828,True,8,attempt 2/3
accel_z,60,0.9,950.0,-51.20783996582031,-58.03681564331055,6.828975677490234,True,8,attempt 3/3
accel_z,70,0.9,350.0,-50.16864013671875,-58.30227088928223,8.133630752563477,True,8,attempt 1/3
accel_z,70,0.9,1350.0,-51.446876525878906,-58.37933349609375,6.932456970214844,True,8,attempt 2/3
accel_z,70,0.9,550.0,-48.707637786865234,-58.03869819641113,9.331060409545898,True,8,attempt 3/3
accel_z,80,0.9,1350.0,-49.942657470703125,-58.015655517578125,8.072998046875,True,8,attempt 1/3
accel_z,80,0.9,150.0,-44.190650939941406,-57.29319381713867,13.102542877197266,True,8,attempt 2/3
accel_z,80,0.9,850.0,-49.68992614746094,-57.377180099487305,7.687253952026367,True,8,attempt 3/3
accel_z,90,0.9,650.0,-48.89862060546875,-57.83085632324219,8.932235717773438,True,8,attempt 1/3
accel_z,90,0.9,450.0,-48.538814544677734,-57.17108726501465,8.632272720336914,True,8,attempt 2/3
accel_z,90,0.9,650.0,-49.55765151977539,-56.955814361572266,7.398162841796875,True,8,attempt 3/3
accel_z,100,0.9,750.0,-46.800174713134766,-57.45968246459961,10.659507751464844,False,8,prior informal finding: degradation begins near here; attempt 1/3
accel_z,100,0.9,650.0,-49.74582290649414,-57.566070556640625,7.820247650146484,False,8,prior informal finding: degradation begins near here; attempt 2/3
accel_z,100,0.9,150.0,-50.89474105834961,-58.34857940673828,7.453838348388672,True,8,prior informal finding: degradation begins near here; attempt 3/3
accel_z,110,0.9,750.0,-48.41466522216797,-57.42779541015625,9.013130187988281,False,8,attempt 1/3
accel_z,110,0.9,350.0,-48.38450622558594,-57.32923889160156,8.944732666015625,False,8,attempt 2/3
accel_z,110,0.9,150.0,-50.36174392700195,-57.575767517089844,7.214023590087891,True,8,attempt 3/3
accel_z,120,0.9,550.0,-49.02568054199219,-57.73009490966797,8.704414367675781,False,8,attempt 1/3
accel_z,120,0.9,1150.0,-49.5094108581543,-57.490440368652344,7.981029510498047,False,8,attempt 2/3
accel_z,120,0.9,150.0,-47.54736328125,-57.67533874511719,10.127975463867188,True,8,attempt 3/3
