channel,requested_freq_hz,requested_level,peak_bin_freq_hz,peak_bin_db,noise_floor_db,snr_db,locked,spec_avg_n,notes
mic,2600.0,1.0,2593.75,-52.28636169433594,-80.62318420410156,28.336822509765625,True,,ceiling coarse; attempt 2/3
mic,2600.0,1.0,2593.75,-52.30119705200195,-76.31359100341797,24.012393951416016,True,,ceiling coarse; attempt 3/3
mic,2850.0,1.0,2843.75,-58.11027908325195,-73.99761199951172,15.887332916259766,True,,ceiling coarse; attempt 1/3
mic,2850.0,1.0,2843.75,-57.984893798828125,-87.40702819824219,29.422134399414062,True,,ceiling coarse; attempt 2/3
mic,2850.0,1.0,2843.75,-58.30671310424805,-76.53781127929688,18.231098175048828,True,,ceiling coarse; attempt 3/3
mic,3100.0,1.0,3093.75,-55.94884490966797,-71.68429565429688,15.735450744628906,True,,ceiling coarse; attempt 1/3
mic,3100.0,1.0,3093.75,-55.50944519042969,-73.02915954589844,17.51971435546875,True,,ceiling coarse; attempt 2/3
mic,3100.0,1.0,3093.75,-55.85944366455078,-81.6864013671875,25.82695770263672,True,,ceiling coarse; attempt 3/3
mic,3350.0,1.0,3343.75,-48.669429779052734,-75.32426452636719,26.654834747314453,True,,ceiling coarse; attempt 1/3
mic,3350.0,1.0,3343.75,-48.773643493652344,-68.72273254394531,19.94908905029297,True,,ceiling coarse; attempt 2/3
mic,3350.0,1.0,3343.75,-48.99715042114258,-71.03417205810547,22.03702163696289,True,,ceiling coarse; attempt 3/3
mic,3600.0,1.0,3593.75,-45.857845306396484,-75.10519409179688,29.24734878540039,True,,ceiling coarse; attempt 1/3
mic,3600.0,1.0,3593.75,-45.79301834106445,-103.97210693359375,58.1790885925293,True,,ceiling coarse; attempt 2/3
mic,3600.0,1.0,3593.75,-45.823944091796875,-87.06976318359375,41.245819091796875,True,,ceiling coarse; attempt 3/3
mic,3850.0,1.0,3843.75,-47.80115509033203,-71.08428192138672,23.283126831054688,True,,ceiling coarse; attempt 1/3
mic,3850.0,1.0,3843.75,-47.79163360595703,-69.6224136352539,21.830780029296875,True,,ceiling coarse; attempt 2/3
mic,3850.0,1.0,3843.75,-47.75532531738281,-84.38536834716797,36.630043029785156,True,,ceiling coarse; attempt 3/3
mic,4100.0,1.0,4093.75,-51.94443130493164,-74.49620819091797,22.551776885986328,True,,ceiling coarse; attempt 1/3
mic,4100.0,1.0,4093.75,-52.09282684326172,-74.98715209960938,22.894325256347656,True,,ceiling coarse; attempt 2/3
mic,4100.0,1.0,4093.75,-52.09005355834961,-77.50971221923828,25.419658660888672,True,,ceiling coarse; attempt 3/3
mic,4350.0,1.0,4343.75,-70.92765045166016,-103.83364868164062,32.90599822998047,True,,ceiling coarse; attempt 1/3
mic,4350.0,1.0,4343.75,-70.84432220458984,-92.40753173828125,21.563209533691406,True,,ceiling coarse; attempt 2/3
mic,4350.0,1.0,4343.75,-69.64286041259766,-75.79052734375,6.147666931152344,True,,ceiling coarse; attempt 3/3
mic,4600.0,1.0,4593.75,-57.08616638183594,-72.70346069335938,15.617294311523438,True,,ceiling coarse; attempt 1/3
mic,4600.0,1.0,4593.75,-57.06507873535156,-77.67290496826172,20.607826232910156,True,,ceiling coarse; attempt 2/3
mic,4600.0,1.0,4593.75,-57.11262130737305,-92.75726318359375,35.6446418762207,True,,ceiling coarse; attempt 3/3
mic,4850.0,1.0,4843.75,-47.0334587097168,-71.75373840332031,24.720279693603516,True,,ceiling coarse; attempt 1/3
mic,4850.0,1.0,4843.75,-46.984195709228516,-71.70156860351562,24.71737289428711,True,,ceiling coarse; attempt 2/3
mic,4850.0,1.0,4843.75,-47.088905334472656,-78.56238555908203,31.473480224609375,True,,ceiling coarse; attempt 3/3
mic,5100.0,1.0,5093.75,-47.03382873535156,-104.51083374023438,57.47700500488281,True,,ceiling coarse; attempt 1/3
mic,5100.0,1.0,5093.75,-47.06462860107422,-72.48048400878906,25.415855407714844,True,,ceiling coarse; attempt 2/3
mic,5100.0,1.0,5093.75,-46.93098068237305,-73.29118347167969,26.36020278930664,True,,ceiling coarse; attempt 3/3
mic,5350.0,1.0,5343.75,-46.909507751464844,-102.85800170898438,55.94849395751953,True,,ceiling coarse; attempt 1/3
mic,5350.0,1.0,5343.75,-46.94240951538086,-104.03487396240234,57.092464447021484,True,,ceiling coarse; attempt 2/3
mic,5350.0,1.0,5343.75,-47.056915283203125,-73.66670989990234,26.60979461669922,True,,ceiling coarse; attempt 3/3
mic,5600.0,1.0,5593.75,-46.182373046875,-68.52214050292969,22.339767456054688,True,,ceiling coarse; attempt 1/3
mic,5600.0,1.0,5593.75,-46.278385162353516,-71.49613189697266,25.21774673461914,True,,ceiling coarse; attempt 2/3
mic,5600.0,1.0,5593.75,-46.42856216430664,-89.20310974121094,42.7745475769043,True,,ceiling coarse; attempt 3/3
